Query,Label,Notes,Category
Do you have Harry Potter?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have the Broken Earth series?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have All Quiet on the Western Front?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have anything by Kazuo Ishiguro?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm looking for books by Celeste Ng.,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What do you have in stock written by Madeline Miller?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I prefer nonfiction.,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I love science fiction books.,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have a historical fiction section?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What are some classic books that everyone should read?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What are your most popular books?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What are your most beloved books?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What books do you have in French?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have any Spanish-language books?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm looking for books in Italian.,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
"I'm doing research for an essay, and I'm looking for best-selling history books about the American Civil War.",0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have any popular young adult fantasy series?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have any memoirs by French authors?,0,Real,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Can you recommend any books by Neil Gaiman?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm interested in exploring the mystery genre. What titles do you recommend?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Are there any highly-rated fantasy series you could suggest?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you carry any popular novels by female authors?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Could you point me towards some award-winning science fiction books?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm searching for historical novels set in ancient Rome. Any recommendations?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What are the top-rated literature classics of all time?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm curious about books that have been translated into multiple languages. Any suggestions?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Looking for a gripping thriller series to dive into. Any recommendations?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have any humorous novels that will make me laugh out loud?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm in the mood for a thought-provoking philosophy read. Any recommendations?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Can you recommend a biography about a prominent historical figure?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm interested in exploring horror novels. What are some popular titles?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm looking for children's books that promote diversity and inclusion. Any suggestions?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Are there any highly acclaimed memoirs written by authors of color?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Could you recommend a short story collection that showcases diverse voices?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm intrigued by religious literature. What titles do you have in that genre?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
What are the top-rated historical fiction novels of the past decade?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
Do you have any humorous crime fiction novels in stock?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
I'm on the hunt for thought-provoking teen reads. Any recommendations?,0,Synthetic,"Direct book queries that request by title, series, author, genre, rating, popularity, language"
